name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	546	460	0.0
Bacteria	2	superkingdom	0	1294	246	0.0
Azorhizobium caulinodans	7	species	35321	5	0	0.0
Buchnera aphidicola	9	species	1511436	42	23	0.0
Cellvibrio	10	genus	0	1	0	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	17410	1	0	0.0
Methylophilus	16	genus	0	1	0	0.0
Pelobacter	18	genus	0	4	0	0.0
Pelobacter carbinolicus	19	species	4914	2	0	0.0
Phenylobacterium	20	genus	0	1	0	0.0
Shewanella	22	genus	0	8	0	0.0
Shewanella putrefaciens	24	species	347065	4	0	0.0
Myxococcales	29	order	0	14	0	0.0
Myxococcus	32	genus	0	3	0	0.0
Myxococcus xanthus	34	species	1434373	11	0	0.0
Archangiaceae	39	family	0	1	0	0.0
Stigmatella aurantiaca	41	species	172622	3	0	0.0
Cystobacter fuscus	43	species	12499660	37	23	0.0
Melittangium lichenicola	45	species	73758	1	1	0.0
Archangium gephyra	48	species	12513146	27	18	0.0
Polyangiaceae	49	family	0	1	0	0.0
Chondromyces crocatus	52	species	11778529	20	16	0.0
Nannocystis exedens	54	species	23794	2	0	0.0
Sorangium cellulosum	56	species	1788714	3	1	0.0
Vitreoscilla	59	genus	0	3	0	0.0
Vitreoscilla filiformis	63	species	3789124	26	10	0.0
Lysobacter	68	genus	0	5	0	0.0
Lysobacter enzymogenes	69	species	12580679	38	24	0.0
Caulobacter	75	genus	0	2	0	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Leptothrix	88	genus	0	3	0	0.0
Gallionella	96	genus	0	2	0	0.0
Cyclobacterium marinum	104	species	13694	1	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	0	2	0	0.0
Gimesia maris	122	species	10543	1	0	0.0
Pirellula staleyi	125	species	5273	2	0	0.0
Planctomycetaceae	126	family	1491	1	0	0.0
Spirochaetales	136	order	0	14	0	0.0
Spirochaetaceae	137	family	17095	9	0	0.0
Borreliella burgdorferi	139	species	9661107	25	7	0.0
Borrelia hermsii	140	species	2215486	23	17	0.0
Borrelia parkeri	141	species	32116	2	0	0.0
Borrelia turicatae	142	species	1419778	11	2	0.0
Borrelia anserina	143	species	14360	4	0	0.0
Treponema	157	genus	0	348	0	0.0
Treponema denticola	158	species	421844	2	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	130	6	0.0
Treponema pallidum	160	species	277332	18	2	0.0
Treponema succinifaciens	167	species	3041	97	0	0.0
Leptospiraceae	170	family	0	1	0	0.0
Leptospira interrogans	173	species	5402254	72	54	0.0
Leptospira borgpetersenii	174	species	262108	13	8	0.0
Leptospirillum ferrooxidans	180	species	475470	3	3	0.0
Aquaspirillum	187	genus	0	2	0	0.0
Magnetospirillum magnetotacticum	188	species	37023	1	0	0.0
Aquaspirillum serpens	190	species	13117	1	1	0.0
Azospirillum	191	genus	0	11	0	0.0
Azospirillum brasilense	192	species	14768781	83	24	0.0
Azospirillum lipoferum	193	species	155226	5	1	0.0
Campylobacter	194	genus	0	54	27	0.0
Campylobacter coli	195	species	33745666	285	69	0.0
Campylobacter fetus	196	species	231951	32	16	0.0
Campylobacter jejuni	197	species	149104840	196	56	0.0
Campylobacter hyointestinalis	198	species	103407	1	0	0.0
Campylobacter concisus	199	species	2313426	26	17	0.0
Campylobacter lari	201	species	2219930	45	5	0.0
Campylobacter mucosalis	202	species	15466	4	0	0.0
Campylobacter rectus	203	species	69540	2	2	0.0
Campylobacter showae	204	species	73992	4	0	0.0
Campylobacter sp.	205	species	92526	1	1	0.0
Campylobacter sputorum	206	species	1719642	32	8	0.0
Helicobacter	209	genus	0	14	4	0.0
Helicobacter pylori	210	species	125372322	38190	36267	4.01034e-05
Helicobacter acinonychis	212	species	1944571	27	0	0.0
Helicobacter cinaedi	213	species	2407214	23	0	0.0
Helicobacter felis	214	species	207218	1	1	0.0
Achromobacter	222	genus	0	39	0	0.0
Alteromonas	226	genus	2057	7	0	0.0
Pseudoalteromonas carrageenovora	227	species	42872	2	0	0.0
Brucella	234	genus	0	47	21	0.0
Brucella abortus	235	species	101262887	15	14	0.0
Flavobacterium	237	genus	0	4	0	0.0
Elizabethkingia meningoseptica	238	species	11983870	190	7	0.0
Chryseobacterium indologenes	253	species	15493344	195	51	0.0
Francisella	262	genus	0	8	0	0.0
Francisella tularensis	263	species	5779638	43	22	0.0
Francisella tularensis subsp. novicida	264	subspecies	6008911	17	2	0.0
Paracoccus	265	genus	0	2	0	0.0
Paracoccus denitrificans	266	species	230518	2	0	0.0
Thermus	270	genus	0	6	0	0.0
Thermus aquaticus	271	species	172161	1	0	0.0
Thermus thermophilus	274	species	2368104	10	3	0.0
Meiothermus ruber	277	species	37505	1	0	0.0
Xanthobacter	279	genus	0	1	0	0.0
Xanthobacter autotrophicus	280	species	125349	1	1	0.0
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	979275	15	1	0.0
Pseudomonas	286	genus	3949	241	33	0.0310574
Pseudomonas aeruginosa	287	species	649285640	235	43	0.0
Pseudoalteromonas atlantica	288	species	3723676	17	3	0.0
Burkholderia cepacia	292	species	48530198	119	23	0.0
Brevundimonas diminuta	293	species	3739908	17	9	0.0
Pseudomonas fluorescens	294	species	109413009	317	92	0.0
Pseudomonas fragi	296	species	20915684	99	13	0.0
Pseudomonas mendocina	300	species	5603789	28	10	0.0
Pseudomonas oleovorans	301	species	109873	1	0	0.0
Pseudomonas putida	303	species	75633305	230	52	0.0
Ralstonia solanacearum	305	species	135542539	339	62	0.0
Pseudomonas sp.	306	species	5185727	23	3	0.0
Pseudomonas stutzeri	316	species	26332943	159	61	0.0
Pseudomonas syringae	317	species	13963156	90	23	0.0
Pseudomonas syringae pv. syringae	321	leaf	13544033	51	18	0.0
Ralstonia pickettii	329	species	5820311	84	20	0.0
Pseudomonas pseudoalcaligenes	330	species	5110416	12	0	0.0
Burkholderia glumae	337	species	189403	8	0	0.0
Xanthomonas	338	genus	0	43	4	0.0
Xanthomonas campestris	339	species	5748741	55	17	0.0
Xanthomonas campestris pv. campestris	340	leaf	25575595	21	1	0.0
Xanthomonas translucens	343	species	57967	3	2	0.0
Xanthomonas citri	346	species	160527	60	2	0.0
Xanthomonas oryzae	347	species	180828	46	21	0.0
Azotobacter	352	genus	0	7	0	0.0
Azotobacter chroococcum	353	species	5286988	35	14	0.0
Azotobacter vinelandii	354	species	432334	11	2	0.0
Rhizobiales	356	order	2751	101	1	0.0
Agrobacterium	357	genus	0	6	0	0.0
Agrobacterium tumefaciens	358	species	14810155	79	5	0.0
Agrobacterium rhizogenes	359	species	5919489	61	21	0.0
Bradyrhizobium	374	genus	0	20	0	0.0
Bradyrhizobium japonicum	375	species	21849638	44	3	0.0
Bradyrhizobium sp.	376	species	18265399	51	20	0.0
Rhizobium	379	genus	0	68	21	0.0
Sinorhizobium fredii	380	species	513617	10	0	0.0
Mesorhizobium loti	381	species	8952411	45	21	0.0
Sinorhizobium meliloti	382	species	99677973	131	58	0.0
Rhizobium leguminosarum	384	species	26282616	95	25	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	7268077	33	7	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	16367791	69	23	0.0
Sinorhizobium fredii NGR234	394	leaf	7630832	25	12	0.0
Rhizobium phaseoli	396	species	87953609	101	11	0.0
Rhizobium tropici	398	species	331406	3	0	0.0
Neorhizobium galegae	399	species	407666	5	0	0.0
Methylococcaceae	403	family	0	7	0	0.0
Methylobacillus	404	genus	0	3	0	0.0
Methylobacillus flagellatus	405	species	37124	4	0	0.0
Methylobacterium	407	genus	0	5	0	0.0
Methylobacterium extorquens	408	species	11509689	10	2	0.0
Methylococcus capsulatus	414	species	26993	2	0	0.0
Methylomonas	416	genus	0	5	0	0.0
Methylomonas methanica	421	species	18481	3	0	0.0
Acetobacteraceae	433	family	0	18	0	0.0
Acetobacter	434	genus	0	4	0	0.0
Acetobacter aceti	435	species	3847909	34	24	0.0
Acetobacter pasteurianus	438	species	6698009	59	13	0.0
Gluconobacter	441	genus	0	1	0	0.0
Gluconobacter oxydans	442	species	3882056	35	18	0.0
Legionellaceae	444	family	0	1	0	0.0
Legionella	445	genus	0	1	0	0.0
Legionella pneumophila	446	species	157586004	89	31	0.0
Legionella hackeliae	449	species	3582649	39	28	0.0
Legionella longbeachae	450	species	4322278	25	1	0.0
Tatlockia micdadei	451	species	9869685	39	10	0.0
Legionella spiritensis	452	species	3366611	23	16	0.0
Moraxellaceae	468	family	0	10	0	0.0
Acinetobacter	469	genus	0	24	1	0.0
Acinetobacter baumannii	470	species	313167375	208	72	0.0
Acinetobacter calcoaceticus	471	species	9333487	52	17	0.0
Acinetobacter sp.	472	species	738239	1	0	0.0
Moraxella catarrhalis	480	species	6411731	88	10	0.0
Neisseriaceae	481	family	0	11	0	0.0
Neisseria	482	genus	0	18	0	0.0
Neisseria cinerea	483	species	92017	1	1	0.0
Neisseria gonorrhoeae	485	species	59898980	103	25	0.0
Neisseria lactamica	486	species	2506977	52	3	0.0
Neisseria meningitidis	487	species	154077990	148	25	0.0
Neisseria sicca	490	species	2872703	39	9	0.0
Neisseria elongata	495	species	40529	2	0	0.0
Psychrobacter	497	genus	0	1	0	0.0
Thermomicrobium roseum	500	species	17760	4	0	0.0
Kingella kingae	504	species	2456010	25	16	0.0
Alcaligenaceae	506	family	0	14	0	0.0
Alcaligenes	507	genus	974	5	0	0.0
