name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	609	176	0.0
Bacteria	2	superkingdom	0	891	189	0.0
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	35321	1	0	0.0
Buchnera aphidicola	9	species	1511436	122	74	0.0
Cellulomonas gilvus	11	species	2831	1	0	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	17410	3	0	0.0
Methylophilus	16	genus	0	1	0	0.0
Methylophilus methylotrophus	17	species	76532	6	3	0.0
Pelobacter	18	genus	0	5	0	0.0
Pelobacter carbinolicus	19	species	4914	7	0	0.0
Phenylobacterium	20	genus	0	2	0	0.0
Shewanella	22	genus	0	34	3	0.0
Shewanella putrefaciens	24	species	347065	36	0	0.0
Myxococcales	29	order	0	43	0	0.0
Myxococcaceae	31	family	0	9	0	0.0
Myxococcus	32	genus	0	12	0	0.0
Myxococcus fulvus	33	species	281935	7	0	0.0
Myxococcus xanthus	34	species	1434373	3	0	0.0
Myxococcus macrosporus	35	species	73732	2	0	0.0
Archangium disciforme	38	species	128005	1	0	0.0
Archangiaceae	39	family	0	5	0	0.0
Stigmatella aurantiaca	41	species	172622	5	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12499660	79	34	0.0
Archangium gephyra	48	species	12513146	125	64	0.0
Polyangiaceae	49	family	0	1	0	0.0
Chondromyces crocatus	52	species	11778529	73	59	0.0
Nannocystis exedens	54	species	23794	4	0	0.0
Polyangium	55	genus	0	1	0	0.0
Sorangium cellulosum	56	species	1788714	19	0	0.0
Vitreoscilla	59	genus	0	3	0	0.0
Vitreoscilla filiformis	63	species	3789124	123	65	0.0
Herpetosiphon aurantiacus	65	species	23955	1	0	0.0
Lysobacter	68	genus	0	12	0	0.0
Lysobacter enzymogenes	69	species	12580679	251	133	0.0
Caulobacter	75	genus	0	4	0	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Hyphomonas	85	genus	0	2	0	0.0
Leptothrix	88	genus	0	16	0	0.0
Gallionella	96	genus	0	4	0	0.0
Cyclobacterium marinum	104	species	13694	3	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	8	0	0.0
Planctomycetales	112	order	0	12	0	0.0
Rubinisphaera brasiliensis	119	species	5043	2	0	0.0
Planctopirus limnophila	120	species	5966	1	0	0.0
Planctomycetaceae	126	family	1491	1	0	0.0
Isosphaera	127	genus	0	2	0	0.0
Methylocystis	133	genus	0	3	0	0.0
Spirochaetales	136	order	0	19	0	0.0
Spirochaetaceae	137	family	17095	22	0	0.0
Borrelia	138	genus	0	22	12	0.0
Borreliella burgdorferi	139	species	9661107	117	30	0.0
Borrelia hermsii	140	species	2215486	92	35	0.0
Borrelia parkeri	141	species	32116	8	0	0.0
Borrelia turicatae	142	species	1419778	59	2	0.0
Borrelia anserina	143	species	14360	12	0	0.0
Borrelia coriaceae	144	species	16439	2	1	0.0
Spirochaeta thermophila	154	species	3895	3	0	0.0
Treponema	157	genus	0	309	1	0.0
Treponema denticola	158	species	421844	11	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	437	13	0.0
Treponema pallidum	160	species	277332	37	4	0.0
Treponema succinifaciens	167	species	3041	93	0	0.0
Leptospiraceae	170	family	0	5	0	0.0
Leptospira	171	genus	351	2	0	0.0
Leptospira biflexa	172	species	18712	1	0	0.0
Leptospira interrogans	173	species	5402254	206	130	0.0
Leptospira borgpetersenii	174	species	262108	61	26	0.0
Leptospirillum	179	genus	0	1	0	0.0
Leptospirillum ferrooxidans	180	species	475470	6	1	0.0
Aquaspirillum	187	genus	0	2	0	0.0
Azospirillum	191	genus	0	16	0	0.0
Azospirillum brasilense	192	species	14768781	291	101	0.0
Azospirillum lipoferum	193	species	155226	15	1	0.0
Campylobacter	194	genus	0	28	2	0.0
Campylobacter coli	195	species	33745666	967	285	7.03117e-06
Campylobacter fetus	196	species	231951	65	39	0.0
Campylobacter jejuni	197	species	149104840	758	229	7.43887e-21
Campylobacter hyointestinalis	198	species	103407	1	0	0.0
Campylobacter concisus	199	species	2313426	20254	20071	0.00174374
Campylobacter curvus	200	species	23777	2	0	0.0
Campylobacter lari	201	species	2219930	145	10	0.0
Campylobacter rectus	203	species	69540	3	2	0.0
Campylobacter showae	204	species	73992	23	2	0.0
Campylobacter sputorum	206	species	1719642	111	23	0.0
Helicobacter	209	genus	0	10	1	0.0
Helicobacter pylori	210	species	125372322	515	246	0.0
Helicobacter acinonychis	212	species	1944571	24	2	0.0
Helicobacter cinaedi	213	species	2407214	56	0	0.0
Helicobacter felis	214	species	207218	1	1	0.0
Helicobacter fennelliae	215	species	42561	1	0	0.0
