name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	553	400	0.0
Bacteria	2	superkingdom	0	868	157	0.0
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	35321	6	0	0.0
Buchnera aphidicola	9	species	1511436	145	90	0.0
Cellvibrio	10	genus	0	6	0	0.0
Cellulomonas gilvus	11	species	2831	1	0	0.0
Dictyoglomus thermophilum	14	species	17410	1	0	0.0
Methylophilus	16	genus	0	1	0	0.0
Methylophilus methylotrophus	17	species	76532	1	1	0.0
Pelobacter	18	genus	0	2	0	0.0
Pelobacter carbinolicus	19	species	4914	2	0	0.0
Phenylobacterium	20	genus	0	1	0	0.0
Shewanella	22	genus	0	40	0	0.0
Shewanella putrefaciens	24	species	347065	7	0	0.0
Myxococcales	29	order	0	50	0	0.0
Myxococcaceae	31	family	0	8	0	0.0
Myxococcus	32	genus	0	15	0	0.0
Myxococcus fulvus	33	species	281935	7	0	0.0
Myxococcus xanthus	34	species	1434373	15	3	0.0
Myxococcus macrosporus	35	species	73732	1	0	0.0
Archangiaceae	39	family	0	9	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	172622	1	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12499660	150	75	0.0
Melittangium	44	genus	0	1	0	0.0
Archangium	47	genus	0	2	0	0.0
Archangium gephyra	48	species	12513146	119	65	0.0
Chondromyces crocatus	52	species	11778529	66	51	0.0
Sorangium cellulosum	56	species	1788714	21	2	0.0
Vitreoscilla	59	genus	0	15	0	0.0
Vitreoscilla filiformis	63	species	3789124	192	108	0.0
Lysobacter	68	genus	0	36	0	0.0
Lysobacter enzymogenes	69	species	12580679	302	161	0.0
Caulobacter	75	genus	0	4	0	0.0
Hyphomicrobium	81	genus	0	7	0	0.0
Leptothrix	88	genus	0	38	0	0.0
Gallionella	96	genus	0	4	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	4	0	0.0
Planctomycetales	112	order	0	10	0	0.0
Planctopirus limnophila	120	species	5966	1	0	0.0
Gimesia maris	122	species	10543	1	0	0.0
Pirellula staleyi	125	species	5273	2	0	0.0
Planctomycetaceae	126	family	1491	3	0	0.0
Isosphaera	127	genus	0	1	0	0.0
Isosphaera pallida	128	species	3093	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Spirochaetales	136	order	0	8	0	0.0
Spirochaetaceae	137	family	17095	21	0	0.0
Borrelia	138	genus	0	6	2	0.0
Borreliella burgdorferi	139	species	9661107	54	16	0.0
Borrelia hermsii	140	species	2215486	39	24	0.0
Borrelia parkeri	141	species	32116	3	0	0.0
Borrelia turicatae	142	species	1419778	24	3	0.0
Borrelia anserina	143	species	14360	7	0	0.0
Spirochaeta aurantia	147	species	38845	5	5	0.0
Spirochaeta thermophila	154	species	3895	4	0	0.0
Treponema	157	genus	0	69	0	0.0
Treponema denticola	158	species	421844	3	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	350	15	0.0
Treponema pallidum	160	species	277332	11	5	0.0
Treponema pallidum subsp. pallidum	161	subspecies	42114488	2	0	0.0
Treponema succinifaciens	167	species	3041	28	0	0.0
Treponema pallidum subsp. pertenue	168	subspecies	2443396	1	0	0.0
Leptospiraceae	170	family	0	4	0	0.0
Leptospira	171	genus	351	6	1	0.0
Leptospira interrogans	173	species	5402254	147	93	0.0
Leptospira borgpetersenii	174	species	262108	41	16	0.0
Leptospirillum ferrooxidans	180	species	475470	8	6	0.0
Aquaspirillum	187	genus	0	14	0	0.0
Magnetospirillum magnetotacticum	188	species	37023	1	0	0.0
Azospirillum	191	genus	0	28	0	0.0
Azospirillum brasilense	192	species	14768781	382	114	0.0
Azospirillum lipoferum	193	species	155226	32	1	0.0
Campylobacter	194	genus	0	94	11	0.0
Campylobacter coli	195	species	33745666	499	154	3.83202e-131
Campylobacter fetus	196	species	231951	47	24	0.0
Campylobacter jejuni	197	species	149104840	394	105	0.0
Campylobacter hyointestinalis	198	species	103407	1	0	0.0
Campylobacter concisus	199	species	2313426	49	38	0.0
Campylobacter lari	201	species	2219930	127	40	0.0
Campylobacter sp.	205	species	92526	3	3	0.0
Campylobacter sputorum	206	species	1719642	135	21	0.0
Helicobacter	209	genus	0	8	2	0.0
Helicobacter pylori	210	species	125372322	262	120	0.0
Helicobacter acinonychis	212	species	1944571	9	0	0.0
Helicobacter cinaedi	213	species	2407214	45	0	0.0
Helicobacter felis	214	species	207218	2	2	0.0
Helicobacter fennelliae	215	species	42561	4	0	0.0
Achromobacter	222	genus	0	306	1	0.0
Alteromonas	226	genus	2057	20	3	0.0
Pseudoalteromonas haloplanktis	228	species	84368	1	0	0.0
Brucella	234	genus	0	132	67	0.0
Brucella abortus	235	species	101262887	19	14	0.0
Flavobacterium	237	genus	0	5	0	0.0
Elizabethkingia meningoseptica	238	species	11983870	327	31	0.0
Flavobacterium sp.	239	species	567422	3	3	0.0
Chryseobacterium indologenes	253	species	15493344	396	119	0.0
Sphingobacterium spiritivorum	258	species	27683	7	6	0.0
Francisella	262	genus	0	14	0	0.0
Francisella tularensis	263	species	5779638	122	45	0.0
Francisella tularensis subsp. novicida	264	subspecies	6008911	48	9	0.0
Paracoccus	265	genus	0	17	0	0.0
