name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	5	2	0.0
Shewanella	22	genus	0	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Pseudomonas	286	genus	0	781	0	0.0
Pseudomonas fluorescens	294	species	14826544	11	5	8.96579e-17
Pseudomonas putida	303	species	6888188	4	1	0.0
Ralstonia solanacearum	305	species	11186335	1	0	0.0
Pseudomonas stutzeri	316	species	7755802	1	1	0.0
Ralstonia pickettii	329	species	6378979	322	264	1.48902e-05
Pseudomonas pseudoalcaligenes	330	species	4691662	4	3	2.49401e-07
Burkholderia glumae	337	species	7333967	23	0	0
Rhizobiales	356	order	0	1	0	0.0
Bradyrhizobium	374	genus	0	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	23	0	0
Rhizobium leguminosarum	384	species	7369497	4	4	0.0
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Gluconobacter oxydans	442	species	3306867	2	0	0.0
Legionella longbeachae	450	species	4149158	2	1	0.0
Acinetobacter	469	genus	0	26	0	0.0
Moraxella	475	genus	0	1	0	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Enterobacteriaceae	543	family	0	3358	1804	0.0
Citrobacter	544	genus	0	3424	0	0.0
Citrobacter koseri	545	species	4735357	73900	7	3.05608e-07
Citrobacter freundii	546	species	16193243	9399	17	1.10106e-07
Enterobacter	547	genus	0	1404	2	0.0
[Enterobacter] aerogenes	548	species	10750562	72685	30	1.46498e-07
Pantoea agglomerans	549	species	9924054	108	1	2.79615e-15
Enterobacter cloacae	550	species	10083180	3600	13	7.57609e-08
Erwinia	551	genus	0	10	0	0.0
Erwinia amylovora	552	species	3869718	3	2	0.0
Pantoea ananatis	553	species	4842757	744	2	7.58207e-08
Pectobacterium carotovorum	554	species	4852842	43	18	0.0
Escherichia	561	genus	0	11911	0	0.0
Escherichia coli	562	species	12319210	3904010	1704914	0.112738
Shimwellia blattae	563	species	4158725	4262	2	3.62139e-36
Escherichia fergusonii	564	species	4643861	318881	1474	0.000135541
Hafnia alvei	569	species	6928293	3516	3	5.46244e-22
Klebsiella	570	genus	0	3547	0	0.0
Klebsiella oxytoca	571	species	16779606	2942	16	7.23371e-08
Klebsiella pneumoniae	573	species	15713353	77658	71	1.65021e-06
Morganella morganii	582	species	3853791	3	2	3.20028e-20
Proteus mirabilis	584	species	5337360	10	0	0.0
Proteus vulgaris	585	species	3794983	10	0	0.0
Salmonella	590	genus	0	82	0	0.0
Serratia	613	genus	0	38	0	0.0
Serratia liquefaciens	614	species	7946985	910	6	1.45417e-07
Serratia marcescens	615	species	8465231	19	3	0
Shigella	620	genus	0	585059	0	0.0
Shigella boydii	621	species	4698475	544867	200	4.68243e-06
Shigella dysenteriae	622	species	4560911	524244	257	9.12125e-06
Shigella flexneri	623	species	4763519	539924	74	6.24796e-06
Shigella sonnei	624	species	6798914	641565	88	1.59581e-06
Xenorhabdus nematophila	628	species	4586662	1	0	1.22506e-31
Yersinia	629	genus	0	14115	0	0.0
Yersinia enterocolitica	630	species	14308813	2545	1	7.04551e-32
Yersinia intermedia	631	species	4859749	6	3	0.0
Yersinia pestis	632	species	7124135	2526	0	1.28089e-25
Yersinia pseudotuberculosis	633	species	9565781	889	0	5.12478e-29
Edwardsiella	635	genus	0	4498	0	0.0
Edwardsiella tarda	636	species	3717889	5	1	1.02383e-07
Aeromonas	642	genus	0	32	0	0.0
Aeromonas hydrophila	644	species	7739252	6	0	5.15673e-18
Aeromonas salmonicida	645	species	5040536	3	1	0.0
Aeromonas media	651	species	4788430	5	0	6.63708e-20
Aeromonas schubertii	652	species	4400034	2	1	0.0
Aeromonas veronii	654	species	7214925	7	1	0.0
Vibrio alginolyticus	663	species	8138835	1	0	0.0
Vibrio cholerae	666	species	6170861	6	3	0.0
Vibrio harveyi	669	species	11920371	1	0	0.0
Vibrio fluvialis	676	species	4827724	1	1	7.42443e-08
Vibrio campbellii	680	species	12090206	1	0	0.0
Vibrio natriegens	691	species	10692018	1	1	0.0
Plesiomonas	702	genus	0	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	4481	1	1.05676e-07
Haemophilus	724	genus	0	317	0	0.0
[Haemophilus] ducreyi	730	species	10121291	1	0	0.0
Pasteurella multocida	747	species	2546987	1	1	0.0
Gallibacterium anatis	750	species	2694139	4	4	5.32164e-07
Chlamydia	810	genus	0	2	0	0.0
Bacteroides	816	genus	0	2	0	0.0
Dichelobacter nodosus	870	species	1389350	1	1	0.0
Desulfomicrobium baculatum	899	species	3942657	1	1	0.0
Solitalea canadensis	995	species	5202069	1	1	0.0
Gammaproteobacteria	1236	class	0	1	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	5928	0	2.30596e-40
Leuconostoc lactis	1246	species	1788069	7876	0	1.17201e-36
Oenococcus oeni	1247	species	1780517	24	0	0.0
Leuconostoc carnosum	1252	species	1773468	5911	0	2.16174e-39
Pediococcus acidilactici	1254	species	2131361	1	1	0.0
Staphylococcus	1279	genus	0	17328	10345	0.0
Staphylococcus aureus	1280	species	7252422	2077238	1927533	0.102206
Staphylococcus carnosus	1281	species	2605765	40	37	1.2712e-26
Staphylococcus epidermidis	1282	species	3296362	201	17	1.10796e-07
Staphylococcus haemolyticus	1283	species	2629003	10	6	2.07029e-07
Staphylococcus hyicus	1284	species	2472129	25	0	2.21018e-17
Staphylococcus simulans	1286	species	2647552	6	6	0.0
Staphylococcus xylosus	1288	species	8411206	2	2	0.0
Staphylococcus warneri	1292	species	2560716	8	2	1.07765e-06
Staphylococcus schleiferi	1295	species	12494798	231	1	3.41788e-39
Deinococcus radiodurans	1299	species	6628921	2	2	0.0
Streptococcus	1301	genus	0	2484	5	0.0
Streptococcus gordonii	1302	species	3335036	5	5	0.0
Streptococcus oralis	1303	species	1958690	11565	0	1.47569e-18
Streptococcus salivarius	1304	species	3636237	2	2	0.0
Streptococcus sanguinis	1305	species	2388435	2503	0	4.78393e-37
Streptococcus suis	1307	species	2683756	8299	3	2.71086e-07
Streptococcus thermophilus	1308	species	3463400	2662	0	6.6966e-35
Streptococcus mutans	1309	species	2017559	694369	654017	0.123262
Streptococcus agalactiae	1311	species	5721038	849462	765457	0.052753
Streptococcus pneumoniae	1313	species	2272871	40	1	1.00181e-18
Streptococcus pyogenes	1314	species	4096430	54602	2172	0.000203677
Streptococcus anginosus	1328	species	2557124	16	3	0.0
Streptococcus dysgalactiae	1334	species	2149105	18927	7	2.2151e-15
Streptococcus equi	1336	species	2140495	6	3	0.0
Streptococcus intermedius	1338	species	1963517	32266	24	1.24714e-16
Streptococcus iniae	1346	species	2086959	2	1	9.49171e-45
Streptococcus parauberis	1348	species	2143887	24	23	1.67719e-07
Streptococcus uberis	1349	species	1852352	1	1	0.0
Enterococcus faecalis	1351	species	3401628	4199	0	3.77449e-43
Enterococcus faecium	1352	species	5898717	8	8	4.86114e-07
Enterococcus hirae	1354	species	2908247	1	1	0.0
Lactococcus lactis	1358	species	2704731	5668	1	3.071e-41
Aerococcus viridans	1377	species	2199877	1117	0	4.61357e-41
